id,provider_and_id,provider_code,provider_code_hebrew,file_type_police,accident_type,accident_type_hebrew,accident_severity,accident_severity_hebrew,accident_timestamp,location_accuracy,location_accuracy_hebrew,road_type,road_type_hebrew,road_shape,road_shape_hebrew,day_type,day_type_hebrew,police_unit,police_unit_hebrew,one_lane,one_lane_hebrew,multi_lane,multi_lane_hebrew,speed_limit,speed_limit_hebrew,road_intactness,road_intactness_hebrew,road_width,road_width_hebrew,road_sign,road_sign_hebrew,road_light,road_light_hebrew,road_control,road_control_hebrew,weather,weather_hebrew,road_surface,road_surface_hebrew,road_object,road_object_hebrew,object_distance,object_distance_hebrew,didnt_cross,didnt_cross_hebrew,cross_mode,cross_mode_hebrew,cross_location,cross_location_hebrew,cross_direction,cross_direction_hebrew,road1,road2,km,km_raw,km_accurate,yishuv_symbol,yishuv_name,geo_area,geo_area_hebrew,day_night,day_night_hebrew,day_in_week,day_in_week_hebrew,traffic_light,traffic_light_hebrew,region,region_hebrew,district,district_hebrew,natural_area,natural_area_hebrew,municipal_status,municipal_status_hebrew,yishuv_shape,yishuv_shape_hebrew,street1,street1_hebrew,street2,street2_hebrew,house_number,non_urban_intersection,non_urban_intersection_hebrew,non_urban_intersection_by_junction_number,urban_intersection,accident_year,accident_month,accident_day,accident_hour_raw,accident_hour_raw_hebrew,accident_hour,accident_minute,geom,longitude,latitude,x,y
2013008867,32013008867,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-10-28 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,61,מחוז ירושלים,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,3000,ירושלים,1,ישראל ללא יהודה ושומרון,1,יום,2,שני,9,לא ידוע,1,ירושלים,11,ירושלים,111,הרי יהודה,,,12,יישובים יהודיים 500000 תושבים ומעלה,1402,"שח""ל",,,9999,,,,,2013,10,28,33,,8,0,0101000020E61000008831614735994140CD701D52F2C23F40,35.1969384407594,31.7615100213887,218739.0,629866.0
2019092176,32019092176,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,3,19,התנגשות עם בעל חיים,3,קלה,2019-01-27 05:30,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,12,מרחב גליל,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,6,לילה לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,1317,דמיידה,1,ישראל ללא יהודה ושומרון,5,לילה,1,ראשון,9,לא ידוע,2,הצפון,24,עכו,241,אזור שפרעם,56,משגב,45,יישובים כפריים אחרים לא יהודיים,,,,,9999,,,,,2019,1,27,23,05:30-05:44,5,30,0101000020E6100000B441AC84239D4140EC8EF0E369684040,35.2276464310739,32.8157315182305,221623.0,746772.0
2013008869,32013008869,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-09-15 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,61,מחוז ירושלים,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,3000,ירושלים,1,ישראל ללא יהודה ושומרון,1,יום,1,ראשון,9,לא ידוע,1,ירושלים,11,ירושלים,111,הרי יהודה,,,12,יישובים יהודיים 500000 תושבים ומעלה,6701,שכ מנחת,,,9999,,,,,2013,9,15,33,,8,0,0101000020E6100000AE8EFC385497414061482F81DCC03F40,35.1822577698889,31.7533646336018,217348.0,628963.0
2013008870,32013008870,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-10-28 08:00,1,עיגון מדויק,4,לא-עירונית לא בצומת,9,אחר,4,יום אחר,51,מרחב השרון,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,40,,2900.0,2900,true,,,1,ישראל ללא יהודה ושומרון,1,יום,2,שני,9,לא ידוע,,,99,,,,,,,,,,,,,,,,,2013,10,28,33,,8,0,0101000020E6100000565D5380AC7341407C404E1BAC094040,34.9037018210462,32.0755647785272,191055.0,664730.0
2013008871,32013008871,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-06-02 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,52,מרחב שפלה,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,2660,יבנה,1,ישראל ללא יהודה ושומרון,1,יום,1,ראשון,9,לא ידוע,4,המרכז,44,רחובות,441,אזור רחובות,,,16,יישובים יהודיים 49999-20000 תושבים,139,חטיבת גבעתי,,,14,,,,,2013,6,2,33,,8,0,0101000020E6100000245ECDAC7E5E41402584B94A86DE3F40,34.7382408144734,31.8692366316719,175334.0,641906.0
2013008872,32013008872,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-10-07 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,20,"מחוז ת""א",9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,5000,תל אביב -יפו,1,ישראל ללא יהודה ושומרון,1,יום,2,שני,9,לא ידוע,5,תל אביב,51,תל אביב,511,אזור תל אביב,,,13,יישובים יהודיים 499999-200000 תושבים,2648,לה גארדיה,,,9999,,,,,2013,10,7,33,,8,0,0101000020E6100000549D4F937D654140D1B7D8FA95074040,34.7928947581046,32.0592645223802,180586.0,662957.0
2013008873,32013008873,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-02-12 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,12,מרחב גליל,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,7500,סח'נין,1,ישראל ללא יהודה ושומרון,1,יום,3,שלישי,9,לא ידוע,2,הצפון,24,עכו,241,אזור שפרעם,,,26,יישובים לא יהודיים 49999-20000 תושבים,,,,,9999,,,,,2013,2,12,33,,8,0,0101000020E6100000E6F19749B8A74140EDF4E825A86E4040,35.310311507408,32.8645064723476,229359.0,752186.0
2013008874,32013008874,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-10-17 08:00,3,מרכז דרך,2,עירונית לא בצומת,9,אחר,4,יום אחר,38,מרחב לכיש,9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,2630,קריית גת,1,ישראל ללא יהודה ושומרון,1,יום,5,חמישי,9,לא ידוע,6,הדרום,61,אשקלון,612,אזור לכיש,,,16,יישובים יהודיים 49999-20000 תושבים,168,שד פולק ישראל,,,9999,,,,,2013,10,17,33,,8,0,0101000020E6100000ECEF89B1EB63414038BDFF56219A3F40,34.7806302951356,31.6020712255824,179230.0,612265.0
2013008875,32013008875,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-11-04 08:00,2,מרכז ישוב,2,עירונית לא בצומת,9,אחר,4,יום אחר,11,מרחב חוף (חיפה),9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,,,,,,9300,זכרון יעקב,1,ישראל ללא יהודה ושומרון,1,יום,2,שני,9,לא ידוע,3,חיפה,32,חדרה,322,אזור זכרון יעקב,99,מועצה מקומית,16,יישובים יהודיים 49999-20000 תושבים,,,,,9999,,,,,2013,11,4,33,,8,0,0101000020E61000001F8734F89C7B41402BF4DD44B5484040,34.9657278305515,32.5680318912276,197033.0,719327.0
2013008876,32013008876,3,הלשכה המרכזית לסטטיסטיקה - סוג תיק 3,,3,התנגשות חזית באחור,3,קלה,2013-11-10 08:00,1,עיגון מדויק,4,לא-עירונית לא בצומת,9,אחר,4,יום אחר,11,מרחב חוף (חיפה),9,לא ידוע מס מסלולים,,,,,,,,,5,לא ידוע,11,יום לא ידוע,,,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,9,לא ידוע,,,,,9,לא ידוע,75,,388.0,388,true,,,1,ישראל ללא יהודה ושומרון,1,יום,1,ראשון,9,לא ידוע,,,99,,,,,,,,,,,,,,,,,2013,11,10,33,,8,0,0101000020E61000000A14600CFE8C41405A442B09A65C4040,35.1015029400952,32.7238170110001,209800.0,736583.0
